date,Open,High,Low,Close,Volume
2024-12-18,45.8,46.0,45.4,45.6,14453420.0
2024-12-19,45.0,45.55,44.6,45.2,23694081.0
2024-12-20,45.05,45.35,42.65,42.75,84367587.0
2024-12-23,42.9,43.35,42.05,42.45,40404204.0
2024-12-24,42.5,43.2,42.15,43.05,15386792.0
2024-12-27,43.15,43.45,41.9,42.25,28826147.0
2024-12-30,42.35,42.55,41.6,41.9,23349571.0
2024-12-31,41.55,41.8,41.2,41.35,17333170.0
2025-01-02,41.2,41.35,40.45,40.55,29270907.0
2025-01-03,40.55,41.25,40.2,40.8,24754265.0
2025-01-06,41.0,41.15,39.75,40.3,32397026.0
2025-01-07,40.2,40.65,39.8,40.65,23995447.0
2025-01-08,40.7,40.8,39.85,40.05,19945229.0
2025-01-09,39.9,40.55,39.8,40.05,17953352.0
2025-01-10,40.3,40.75,39.15,39.35,24510361.0
2025-01-13,38.6,38.95,38.15,38.8,16426620.0
2025-01-14,38.85,41.35,38.8,40.7,35811756.0
2025-01-15,40.6,40.7,40.0,40.2,24461374.0
2025-01-16,40.95,42.1,40.35,40.8,26695765.0
2025-01-17,40.7,41.35,40.35,40.75,15044740.0
2025-01-20,41.95,42.3,41.3,41.4,26033180.0
2025-01-21,41.8,42.0,40.9,41.5,21259665.0
2025-01-22,41.0,41.2,40.1,40.45,23821319.0
2025-01-23,40.55,41.4,39.8,40.1,22982801.0
2025-01-24,40.2,41.0,39.9,40.55,25046616.0
2025-01-27,40.65,42.85,40.65,42.1,56237879.0
2025-01-28,42.6,42.8,41.6,42.1,10965580.0
2025-02-03,41.4,41.7,39.35,41.65,33069351.0
2025-02-04,42.4,44.15,42.2,44.1,51261036.0
2025-02-05,44.1,46.4,43.15,45.4,85069542.0
2025-02-06,45.2,45.75,44.2,45.55,43989366.0
2025-02-07,45.55,47.15,45.3,46.3,61022697.0
2025-02-10,46.95,48.2,46.85,47.65,59135811.0
2025-02-11,48.1,48.4,45.5,45.8,48419151.0
2025-02-12,46.4,46.85,45.65,46.75,41173182.0
2025-02-13,47.7,54.2,47.35,49.7,198597810.0
2025-02-14,51.35,53.5,49.95,53.5,140250039.0
2025-02-17,56.15,57.55,52.15,53.6,127754797.0
2025-02-18,53.7,59.8,53.0,58.75,184264567.0
2025-02-19,58.2,59.85,56.8,58.9,83936448.0
2025-02-20,57.7,58.35,53.95,54.4,115746336.0
2025-02-21,56.85,58.4,53.65,58.4,152250900.0
2025-02-24,56.9,57.3,54.5,55.15,89601651.0
2025-02-25,52.25,54.35,52.2,53.35,72024031.0
2025-02-26,53.5,56.45,53.45,55.45,72873716.0
2025-02-27,55.25,55.55,52.75,53.6,80168273.0
2025-02-28,53.3,53.3,49.95,50.6,84440680.0
2025-03-03,50.85,52.1,49.9,50.75,49245571.0
2025-03-04,49.4,51.1,49.15,50.6,36668745.0
2025-03-05,51.5,52.75,49.9,52.55,50583769.0
2025-03-06,55.8,61.75,55.05,60.8,195071767.0
2025-03-07,60.8,65.35,59.75,63.7,162826250.0
2025-03-10,64.5,65.7,61.15,63.1,94292126.0
2025-03-11,61.0,67.5,60.2,66.35,116391050.0
2025-03-12,67.5,68.9,64.05,65.85,82546484.0
2025-03-13,66.0,66.5,61.75,63.3,73943639.0
2025-03-14,64.4,66.35,62.8,64.9,60534096.0
2025-03-17,64.9,65.6,62.8,63.5,44838325.0
2025-03-18,66.0,67.5,65.1,66.3,53396321.0
2025-03-19,65.9,66.8,64.6,65.7,34996748.0
2025-03-20,65.25,65.55,62.2,62.65,56017364.0
2025-03-21,61.8,62.4,58.7,59.3,79006323.0
2025-03-24,59.25,59.25,56.65,58.9,53715705.0
2025-03-25,58.0,58.4,56.4,56.8,38472546.0
2025-03-26,56.35,57.1,53.4,55.85,93958039.0
2025-03-27,56.0,57.3,54.6,56.6,54894023.0
2025-03-28,57.55,58.8,55.65,56.1,50859018.0
2025-03-31,55.5,55.8,53.25,54.35,48089971.0
2025-04-01,55.05,56.8,54.3,56.15,51349491.0
2025-04-02,56.15,58.15,55.7,57.45,44077140.0
2025-04-03,56.05,57.1,55.2,56.2,40495979.0
2025-04-07,49.4,49.8,45.0,45.55,132293806.0
2025-04-08,46.3,47.5,44.2,45.95,100513691.0
2025-04-09,44.1,47.55,42.9,46.6,94057932.0
2025-04-10,48.25,50.8,47.5,48.35,80237970.0
2025-04-11,48.15,50.45,47.75,49.45,46054047.0
